Course Title,Rating,Reviews,Organization,Level,Skill Outcome,Exact Learning Period,link,,,,,,,,,,
Six Sigma Black Belt specialization ,4.5 stars,412 reviews,Six Sigma Black Belt specialization by University System of Georgia,Intermediate," Leadership and Management, Entrepreneurship, Strategy and Operations ",3-6 months,/specializations/six-sigma-black-belt,,,,,,,,,,0
TensorFlow: Data and Deployment specialization ,4.6 stars,1.3k reviews,TensorFlow: Data and Deployment specialization by DeepLearning.AI,Intermediate," Machine Learning, Tensorflow, Deep Learning ",3-6 months,/specializations/tensorflow-data-and-deployment,,,,,,,,,,0
Extended Reality for Everybody specialization ,4.6 stars,398 reviews,Extended Reality for Everybody specialization by University of Michigan,Beginner," Human Computer Interaction, Virtual Reality, Computer Graphics ",1-3 months,/specializations/extended-reality-for-everybody,,,,,,,,,,0
Programming with JavaScript,4.7 stars,2.6k reviews,Programming with JavaScript course by Meta,Beginner," Javascript, Web Development, Front-End Web Development ",1-3 months,/learn/programming-with-javascript,,,,,,,,,,0
Creating Business Value with Data and Looker specialization ,4.7 stars,958 reviews,Creating Business Value with Data and Looker specialization by Google Cloud,Intermediate," Business Analysis, Data Visualization, Data Visualization Software ",3-6 months,/specializations/creating-business-value-with-data-and-looker,,,,,,,,,,0
Google Data Analytics (DE),4.3 stars,22 reviews,Google Data Analytics (DE) professional certificate by Google,Beginner," Data Analysis, Data Management, Statistical Programming ",3-6 months,/professional-certificates/google-data-analytics-de,,,,,,,,,,0
Object-Oriented Data Structures in C++,4.7 stars,2.8k reviews,Object-Oriented Data Structures in C++ course by University of Illinois at Urbana-Champaign,Intermediate," C Programming Language Family, C++ Programming, Computer Programming ",1 month,/learn/cs-fundamentals-1,,,,,,,,,,0
Managing Cybersecurity specialization ,4.8 stars,1k reviews,Managing Cybersecurity specialization by University System of Georgia,Beginner," Security Engineering, Leadership and Management, Computer Networking ",3-6 months,/specializations/managing-cybersecurity,,,,,,,,,,0
Responsive Web Design in Adobe XD,4.8 stars,2.5k reviews,Responsive Web Design in Adobe XD course by Google,Beginner," User Experience Design, Web Design, Web Development ",1-3 months,/learn/responsive-web-design-adobe-xd,,,,,,,,,,0
Cryptography I free,4.8 stars,4.1k reviews,Cryptography I free course by Stanford University,Mixed," Cryptography, Theoretical Computer Science, Security Engineering ",1-3 months,/learn/crypto,,,,,,,,,,0
Design a User Experience for Social Good & Prepare for Jobs,4.9 stars,2.5k reviews,Design a User Experience for Social Good & Prepare for Jobs course by Google,Beginner," Human Computer Interaction, User Experience, Brand Management ",1-3 months,/learn/ux-design-jobs,,,,,,,,,,0
Supply Chain Principles,4.6 stars,2k reviews,Supply Chain Principles course by Georgia Institute of Technology,Mixed," Material Handling, Supply Chain Systems, Supply Chain and Logistics ",1-3 months,/learn/supply-chain-principles,,,,,,,,,,0
Microsoft Power Platform Fundamentals,4.2 stars,76 reviews,Microsoft Power Platform Fundamentals course by Microsoft,Beginner," Data Analysis, Entrepreneurship, Strategy and Operations ",1-3 months,/learn/microsoft-power-platform-fundamentals,,,,,,,,,,0
Using Python to Interact with the Operating System,4.7 stars,5.7k reviews,Using Python to Interact with the Operating System course by Google,Beginner," Computer Programming, Python Programming, Software Engineering ",1-3 months,/learn/python-operating-system,,,,,,,,,,0
Getting Started with Git and GitHub,4.7 stars,561 reviews,Getting Started with Git and GitHub course by IBM,Beginner," Software Engineering, Software Engineering Tools ",1 month,/learn/getting-started-with-git-and-github,,,,,,,,,,0
Sustainability Analyst Fundamentals specialization ,4.4 stars,36 reviews,Sustainability Analyst Fundamentals specialization by Arizona State University,Beginner," Data Analysis, Project Management, Strategy and Operations ",3-6 months,/specializations/sustainability-analyst,,,,,,,,,,0
Digital Signal Processing specialization ,4.5 stars,647 reviews,Digital Signal Processing specialization by École Polytechnique Fédérale de Lausanne,Intermediate," Algorithms, Theoretical Computer Science, Mathematics ",3-6 months,/specializations/digital-signal-processing,,,,,,,,,,0
Building AI Powered Chatbots Without Programming,4.8 stars,2.4k reviews,Building AI Powered Chatbots Without Programming course by IBM,Beginner," Cloud Computing, Computational Logic, Computational Thinking ",1-3 months,/learn/building-ai-powered-chatbots,,,,,,,,,,0
Blockchain Revolution specialization ,4.7 stars,2.9k reviews,Blockchain Revolution specialization by INSEAD,Beginner," FinTech, Finance, BlockChain ",3-6 months,/specializations/blockchain-revolution-enterprise,,,,,,,,,,0
SAP Professional Fundamentals,4.8 stars,263 reviews,SAP Professional Fundamentals course by SAP,Beginner," Entrepreneurship, Leadership and Management, Business Process Management ",1-3 months,/learn/sap-professional-fundamentals,,,,,,,,,,0
Suporte em TI do Google,4.9 stars,5.6k reviews,Suporte em TI do Google professional certificate by Google,Beginner," Operating Systems, Computer Networking, Communication ",3-6 months,/professional-certificates/suporte-em-ti-do-google,,,,,,,,,,0
Abnormal Psychology specialization ,4.8 stars,390 reviews,Abnormal Psychology specialization by Wesleyan University,Beginner," Advertising, Communication, Design and Product ",3-6 months,/specializations/abnormal-psychology,,,,,,,,,,0
"Decisions, Decisions: Dashboards and Reports new",4.8 stars,229 reviews,Decisions,Advanced," Business Analysis, Business Intelligence, Data Management ",1-3 months,/learn/decisions-decisions-dashboards-and-reports,,,,,,,,,,0
Object Oriented Java Programming: Data Structures and Beyond specialization ,4.7 stars,7k reviews,Object Oriented Java Programming: Data Structures and Beyond specialization by University of California San Diego,Intermediate," Data Structures, Theoretical Computer Science, Computer Programming ",3-6 months,/specializations/java-object-oriented,,,,,,,,,,0
Blockchain Revolution in Financial Services specialization ,4.7 stars,912 reviews,Blockchain Revolution in Financial Services specialization by INSEAD,Beginner," BlockChain, Finance, FinTech ",3-6 months,/specializations/blockchain-financial-services,,,,,,,,,,0
Learning Linux for LFCA Certification specialization ,4.5 stars,743 reviews,Learning Linux for LFCA Certification specialization by LearnQuest,Beginner," Linux, Operating Systems, System Software ",3-6 months,/specializations/linux-for-lfca-certification,,,,,,,,,,0
Sustainable Fashion,4.8 stars,674 reviews,Sustainable Fashion course by Copenhagen Business School,Beginner," Advertising, Communication, Marketing ",1-3 months,/learn/sustainable-fashion,,,,,,,,,,0
Marketing Strategy specialization ,4.5 stars,5.7k reviews,Marketing Strategy specialization by IE Business School,Beginner," Marketing, Market Analysis, Market Research ",3-6 months,/specializations/marketing-strategy,,,,,,,,,,0
Cybersecurity Operations Fundamentals new specialization ,4.8 stars,57 reviews,Cybersecurity Operations Fundamentals new specialization by Cisco Learning and Certifications,Beginner," Computer Networking, Network Security, Operations Management ",3-6 months,/specializations/cbrops,,,,,,,,,,0
Desarrollador front-end de Meta new,4.5 stars,39 reviews,Desarrollador front-end de Meta new professional certificate by Meta,Beginner," Web Development, Computer Programming, HTML and CSS ",3-6 months,/professional-certificates/meta-front-end-developer-es,,,,,,,,,,0
Computational Social Science specialization ,4.6 stars,880 reviews,Computational Social Science specialization by University of California,Beginner," Machine Learning, Data Management, Theoretical Computer Science ",3-6 months,/specializations/computational-social-science-ucdavis,,,,,,,,,,0
Data Visualization & Dashboarding with R specialization ,4.8 stars,339 reviews,Data Visualization & Dashboarding with R specialization by Johns Hopkins University,Beginner," R Programming, Statistical Programming, Computer Programming Tools ",3-6 months,/specializations/jhu-data-visualization-dashboarding-with-r,,,,,,,,,,0
Using Python to Access Web Data,4.8 stars,43.6k reviews,Using Python to Access Web Data course by University of Michigan,Mixed," Computer Programming, Python Programming, Data Management ",1-3 months,/learn/python-network-data,,,,,,,,,,0
Python for Cybersecurity specialization ,4.5 stars,313 reviews,Python for Cybersecurity specialization by Infosec,Intermediate," Computer Programming, Python Programming, Security Engineering ",3-6 months,/specializations/pythonforcybersecurity,,,,,,,,,,0
Version Control,4.7 stars,2.1k reviews,Version Control course by Meta,Beginner," Computer Programming Tools, Collaboration, Linux ",1 month,/learn/introduction-to-version-control,,,,,,,,,,0
C++ Programming for Unreal Game Development specialization ,4.5 stars,152 reviews,C++ Programming for Unreal Game Development specialization by University of Colorado System,Intermediate," Computer Programming, C Programming Language Family, C++ Programming ",3-6 months,/specializations/cplusplusunrealgamedevelopment,,,,,,,,,,0
Machine Learning Modeling Pipelines in Production,4.3 stars,354 reviews,Machine Learning Modeling Pipelines in Production course by DeepLearning.AI,Advanced," Advertising, Applied Machine Learning, Cloud Computing ",1-3 months,/learn/machine-learning-modeling-pipelines-in-production,,,,,,,,,,0
Java FullStack Developer new specialization ,4.3 stars,15 reviews,Java FullStack Developer new specialization by Board Infinity,Intermediate," Algorithms, Computer Programming, Java Programming ",1-3 months,/specializations/java-fullstack,,,,,,,,,,0
Developing AI Applications with Python and Flask,4.3 stars,421 reviews,Developing AI Applications with Python and Flask course by IBM,Intermediate," Computer Programming, Other Web Frameworks, Python Programming ",1 month,/learn/python-project-for-ai-application-development,,,,,,,,,,0
Information​ ​Systems specialization ,4.8 stars,1.8k reviews,Information​ ​Systems specialization by University of Minnesota,Beginner," Leadership and Management, Strategy and Operations, Business Analysis ",3-6 months,/specializations/information-systems,,,,,,,,,,0
Arm Cortex-M Architecture and Software Development specialization ,4.7 stars,53 reviews,Arm Cortex-M Architecture and Software Development specialization by Arm,Intermediate," Computer Architecture, Computer Programming, Computer Programming Tools ",3-6 months,/specializations/cortex-m-architecture-and-software-development,,,,,,,,,,0
JavaScript for Beginners specialization ,4.7 stars,877 reviews,JavaScript for Beginners specialization by University of California,Beginner," Computer Programming, Javascript, Web Development ",3-6 months,/specializations/javascript-beginner,,,,,,,,,,0
Splunk Search Expert specialization ,4.7 stars,165 reviews,Splunk Search Expert specialization by Splunk Inc.,Beginner," Probability & Statistics, Data Analysis, Computer Networking ",3-6 months,/specializations/splunk-search-expert,,,,,,,,,,0
Digital Marketing Strategy and Planning specialization ,4.6 stars,299 reviews,Digital Marketing Strategy and Planning specialization by Digital Marketing Institute,Beginner," Marketing, Digital Marketing, Sales ",1-3 months,/specializations/digital-marketing-strategy-planning,,,,,,,,,,0
Developing Front-End Apps with React,4.3 stars,213 reviews,Developing Front-End Apps with React course by IBM,Intermediate," Computer Programming, Javascript, React (web framework) ",1 month,/learn/developing-frontend-apps-with-react,,,,,,,,,,0
"Cybersecurity Roles, Processes & Operating System Security",4.6 stars,5.1k reviews,Cybersecurity Roles,Beginner," Security Engineering, Operating Systems, Cloud Computing ",1-3 months,/learn/cybersecurity-roles-processes-operating-system-security,,,,,,,,,,0
Robotic Process Automation (RPA) specialization ,4.7 stars,285 reviews,Robotic Process Automation (RPA) specialization by UiPath,Beginner," Computer Programming, Computer Programming Tools, Software Engineering ",3-6 months,/specializations/roboticprocessautomation,,,,,,,,,,0
AI Applications in People Management,4.7 stars,54 reviews,AI Applications in People Management course by University of Pennsylvania,Mixed," Entrepreneurship, Human Resources, Leadership and Management ",1 month,/learn/wharton-ai-applications-people-management,,,,,,,,,,0
Software Development Lifecycle specialization ,4.7 stars,8.9k reviews,Software Development Lifecycle specialization by University of Minnesota,Intermediate," Software Engineering, Agile Software Development, Software Testing ",3-6 months,/specializations/software-development-lifecycle,,,,,,,,,,0
Fundamentals of Software Architecture for Big Data,3.3 stars,17 reviews,Fundamentals of Software Architecture for Big Data course by University of Colorado Boulder,Advanced," BlockChain, Computer Programming, Finance ",1 month,/learn/software-architecture-for-big-data-fundamentals,,,,,,,,,,0
Fundamentals of GIS,4.8 stars,5.4k reviews,Fundamentals of GIS course by University of California,Beginner," ArcGIS, Statistical Programming, Data Visualization ",1 month,/learn/gis,,,,,,,,,,0
Introduction to Google SEO,4.6 stars,9.6k reviews,Introduction to Google SEO course by University of California,Beginner," Communication, Digital Marketing, Marketing ",1 month,/learn/search-engine-optimization,,,,,,,,,,0
Introduction to Back-End Development,4.7 stars,2.2k reviews,Introduction to Back-End Development course by Meta,Beginner," HTML and CSS, React (web framework), Cloud Computing ",1 month,/learn/introduction-to-back-end-development,,,,,,,,,,0
User Interface Design specialization ,4.6 stars,1.7k reviews,User Interface Design specialization by University of Minnesota,Intermediate," Research and Design, User Experience, Human Computer Interaction ",3-6 months,/specializations/user-interface-design,,,,,,,,,,0
Aspectos básicos de la asistencia técnica,4.9 stars,10.2k reviews,Aspectos básicos de la asistencia técnica course by Google,Beginner," Leadership and Management, Research and Design, Problem Solving ",1-3 months,/learn/asistencia-tecnica,,,,,,,,,,0
AI Strategy and Governance,4.9 stars,54 reviews,AI Strategy and Governance course by University of Pennsylvania,Beginner," Machine Learning, Entrepreneurship, Leadership and Management ",1 month,/learn/wharton-ai-strategy-governance,,,,,,,,,,0
Supply Chain Management: A Learning Perspective free,4.7 stars,1.5k reviews,Supply Chain Management: A Learning Perspective free course by Korea Advanced Institute of Science and Technology(KAIST),Advanced," Strategy and Operations, Supply Chain Systems, Supply Chain and Logistics ",1-3 months,/learn/supply-chain-management,,,,,,,,,,0
The Nuts and Bolts of Machine Learning new,4.8 stars,93 reviews,The Nuts and Bolts of Machine Learning new course by Google,Advanced," Machine Learning, Machine Learning Algorithms, Bayesian Statistics ",1-3 months,/learn/the-nuts-and-bolts-of-machine-learning,,,,,,,,,,0
Modern Big Data Analysis with SQL specialization ,4.8 stars,1.4k reviews,Modern Big Data Analysis with SQL specialization by Cloudera,Beginner," Data Management, Databases, SQL ",3-6 months,/specializations/cloudera-big-data-analysis-sql,,,,,,,,,,0
Content Strategy for Professionals specialization ,4.6 stars,871 reviews,Content Strategy for Professionals specialization by Northwestern University,Beginner," Accounting, Big Data, Brand Management ",3-6 months,/specializations/content-strategy,,,,,,,,,,0
From Data to Insights with Google Cloud specialization ,4.6 stars,4.5k reviews,From Data to Insights with Google Cloud specialization by Google Cloud,Beginner," Cloud Computing, Google Cloud Platform, SQL ",3-6 months,/specializations/from-data-to-insights-google-cloud-platform,,,,,,,,,,0
Privacy and Standardisation specialization ,4.4 stars,313 reviews,Privacy and Standardisation specialization by EIT Digital,Intermediate," Operating Systems, Security Engineering, Software Security ",3-6 months,/specializations/privacy,,,,,,,,,,0
Introduction to Scrum Master Training,4.7 stars,1.6k reviews,Introduction to Scrum Master Training course by LearnQuest,Beginner," Agile Software Development, Software Engineering, Leadership and Management ",1-3 months,/learn/introduction-to-certified-scrum-master,,,,,,,,,,0
Swift 5 iOS Application Developer specialization ,4.4 stars,877 reviews,Swift 5 iOS Application Developer specialization by LearnQuest,Beginner," Mobile Development, Swift Programming, iOS Development ",3-6 months,/specializations/swift-5-ios-app-developer,,,,,,,,,,0
Cyber Security Fundamentals,4.7 stars,102 reviews,Cyber Security Fundamentals course by University of London,Beginner," Security Engineering, Finance, Leadership and Management ",1 month,/learn/cyber-security-fundamentals,,,,,,,,,,0
Entrepreneurial Finance: Strategy and Innovation specialization ,4.5 stars,1.3k reviews,Entrepreneurial Finance: Strategy and Innovation specialization by Duke University,Intermediate," Finance, Probability & Statistics, Entrepreneurship ",3-6 months,/specializations/entrepreneurial-finance,,,,,,,,,,0
Cloud-Native Development with OpenShift and Kubernetes specialization ,4.6 stars,84 reviews,Cloud-Native Development with OpenShift and Kubernetes specialization by Red Hat,Intermediate," Cloud Computing, Kubernetes, Cloud Applications ",3-6 months,/specializations/cloud-native-development-openshift-kubernetes,,,,,,,,,,0
Cybersecurity in Healthcare (Hospitals & Care Centres) free,4.6 stars,237 reviews,Cybersecurity in Healthcare (Hospitals & Care Centres) free course by Erasmus University Rotterdam,Beginner," Security Engineering, Cyberattacks, System Security ",1-3 months,/learn/cybersecurity-in-healthcare,,,,,,,,,,0
Fundamentals of Social Media Advertising,4.8 stars,2k reviews,Fundamentals of Social Media Advertising course by Meta,Beginner," Advertising, Communication, Digital Marketing ",1-3 months,/learn/social-media-advertising-fundamentals,,,,,,,,,,0
Kotlin for Java Developers,4.7 stars,2k reviews,Kotlin for Java Developers course by JetBrains,Intermediate," Computer Programming, Java Programming, Other Programming Languages ",1-3 months,/learn/kotlin-for-java-developers,,,,,,,,,,0
Marketing Digital,4.8 stars,2.1k reviews,Marketing Digital course by Universidade de São Paulo,Beginner," Digital Marketing, Marketing, Data Analysis ",1-3 months,/learn/estrategia-marketing-digital,,,,,,,,,,0
Cloud Computing specialization ,4.3 stars,2k reviews,Cloud Computing specialization by University of Illinois at Urbana-Champaign,Intermediate," Cloud Computing, Information Technology, Cloud Infrastructure ",3-6 months,/specializations/cloud-computing,,,,,,,,,,0
Digital Transformation Using AI/ML with Google Cloud specialization ,4.7 stars,6.1k reviews,Digital Transformation Using AI/ML with Google Cloud specialization by Google Cloud,Beginner," Cloud Computing, Machine Learning, Applied Machine Learning ",3-6 months,/specializations/digital-transformation-using-ai-ml-with-google-cloud,,,,,,,,,,0
Algorithmic Toolbox,4.6 stars,12.2k reviews,Algorithmic Toolbox course by University of California San Diego,Intermediate," Algorithms, Computer Programming, Theoretical Computer Science ",1-3 months,/learn/algorithmic-toolbox,,,,,,,,,,0
"Build, Train, and Deploy ML Pipelines using BERT",4.5 stars,139 reviews,Build,Advanced," Advertising, Algorithms, Amazon Web Services ",1 month,/learn/ml-pipelines-bert,,,,,,,,,,0
Security Principles,4.7 stars,127 reviews,Security Principles course by ISC2,Beginner," Computer Networking, Finance, Leadership and Management ",1-3 months,/learn/-security-principles,,,,,,,,,,0
Web3 and Blockchain in Global Commerce specialization ,4.6 stars,37 reviews,Web3 and Blockchain in Global Commerce specialization by INSEAD,Beginner," Finance, BlockChain, Supply Chain Systems ",3-6 months,/specializations/web3-blockchain-global-commerce,,,,,,,,,,0
Customer Experiences with Contact Center AI - Dialogflow CX specialization ,4.4 stars,211 reviews,Customer Experiences with Contact Center AI - Dialogflow CX specialization by Google Cloud,Beginner," Machine Learning, Natural Language Processing, Business Psychology ",3-6 months,/specializations/customer-experiences-with-contact-center-ai-dialogflow-cx,,,,,,,,,,0
Social Media Marketing in Practice specialization ,4.5 stars,255 reviews,Social Media Marketing in Practice specialization by Digital Marketing Institute,Beginner," Communication, Marketing, Digital Marketing ",3-6 months,/specializations/social-media-marketing-practice,,,,,,,,,,0
IBM AI Enterprise Workflow specialization ,4.3 stars,256 reviews,IBM AI Enterprise Workflow specialization by IBM,Advanced," Machine Learning, Data Analysis, Computer Programming ",3-6 months,/specializations/ibm-ai-workflow,,,,,,,,,,0
Machine Learning specialization ,4.6 stars,15.9k reviews,Machine Learning specialization by University of Washington,Intermediate," Machine Learning, Machine Learning Algorithms, Data Science ",3-6 months,/specializations/machine-learning,,,,,,,,,,0
Google Cloud Fundamentals: Core Infrastructure,4.7 stars,47k reviews,Google Cloud Fundamentals: Core Infrastructure course by Google Cloud,Beginner," Cloud Computing, Web Development, Full-Stack Web Development ",1-3 months,/learn/gcp-fundamentals,,,,,,,,,,0
Advanced Machine Learning on Google Cloud specialization ,4.5 stars,1.4k reviews,Advanced Machine Learning on Google Cloud specialization by Google Cloud,Advanced," Machine Learning, Cloud Computing, Google Cloud Platform ",3-6 months,/specializations/advanced-machine-learning-tensorflow-gcp,,,,,,,,,,0
Cybersecurity Compliance Framework & System Administration,4.7 stars,3k reviews,Cybersecurity Compliance Framework & System Administration course by IBM,Beginner," Security Engineering, Cyberattacks, Computer Security Incident Management ",1-3 months,/learn/cybersecurity-compliance-framework-system-administration,,,,,,,,,,0
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",4.4 stars,569 reviews,Introduction to Containers w/ Docker,Intermediate," Cloud Computing, Kubernetes, Software Engineering ",1-3 months,/learn/ibm-containers-docker-kubernetes-openshift,,,,,,,,,,0
تصميم تجربة المستخدم من Google,4.8 stars,50 reviews,تصميم تجربة المستخدم من Google professional certificate by Google,Beginner," Human Computer Interaction, User Experience, Marketing ",3-6 months,/professional-certificates/google-ux-design-arabic,,,,,,,,,,0
Microsoft Azure Developer Associate (AZ-204),4.5 stars,101 reviews,Microsoft Azure Developer Associate (AZ-204) professional certificate by Microsoft,Intermediate," Cloud Computing, Microsoft Azure, Cloud Applications ",3-6 months,/professional-certificates/azure-developer-associate,,,,,,,,,,0
Organizational Change and Culture for Adopting Google Cloud specialization ,4.7 stars,3.4k reviews,Organizational Change and Culture for Adopting Google Cloud specialization by Google Cloud,Beginner," Leadership and Management, Cloud Computing, Entrepreneurship ",3-6 months,/specializations/organizational-change-and-culture-for-adopting-google-cloud,,,,,,,,,,0
Version Control with Git,4.7 stars,2.8k reviews,Version Control with Git course by Atlassian,Mixed," Software Engineering, Software Engineering Tools, Application Development ",1 month,/learn/version-control-with-git,,,,,,,,,,0
Python Programming Fundamentals new,-,-,Python Programming Fundamentals new course by Duke University,Beginner," Algorithms, Computer Programming, Computer Programming Tools ",1 month,/learn/python-programming-fundamentals,,,,,,,,,,0
Salesforce Fundamentals specialization ,4.3 stars,224 reviews,Salesforce Fundamentals specialization by University of California,Beginner," Advertising, Cloud Computing, Communication ",1-3 months,/specializations/salesforce-fundamentals,,,,,,,,,,0
Cybersecurity Risk Management Framework specialization ,4.3 stars,84 reviews,Cybersecurity Risk Management Framework specialization by Infosec,Beginner," Security Engineering, System Security, Finance ",3-6 months,/specializations/cybersecurity-risk-management-framework,,,,,,,,,,0
Introduction to Scripting in Python specialization ,4.7 stars,4.1k reviews,Introduction to Scripting in Python specialization by Rice University,Beginner," Computer Programming, Python Programming, Computer Science ",3-6 months,/specializations/introduction-scripting-in-python,,,,,,,,,,0
Ordered Data Structures,4.8 stars,839 reviews,Ordered Data Structures course by University of Illinois at Urbana-Champaign,Mixed," Computer Programming, Data Structures, Theoretical Computer Science ",1 month,/learn/cs-fundamentals-2,,,,,,,,,,0
Spring Framework specialization ,3.9 stars,410 reviews,Spring Framework specialization by LearnQuest,Beginner," Computer Programming, Other Web Frameworks, Web Development ",1-3 months,/specializations/spring-framework,,,,,,,,,,0
Art for Games specialization ,4.5 stars,305 reviews,Art for Games specialization by Michigan State University,Beginner," Computer Graphics, Computer Graphic Techniques, Mathematics ",3-6 months,/specializations/art-for-games,,,,,,,,,,0
React Basics,4.7 stars,1.1k reviews,React Basics course by Meta,Beginner," React (web framework), Web Development, Front-End Web Development ",1 month,/learn/react-basics,,,,,,,,,,0
5G for Everyone,4.8 stars,282 reviews,5G for Everyone course by Qualcomm Wireless Academy,Beginner," Computer Networking, Computer Architecture, Network Architecture ",1-3 months,/learn/5g-training-qualcomm,,,,,,,,,,0
Malware Analysis and Introduction to Assembly Language,4.4 stars,24 reviews,Malware Analysis and Introduction to Assembly Language course by IBM,Beginner," Operating Systems, Security Engineering, Software Security ",1-3 months,/learn/malware-analysis-and-assembly,,,,,,,,,,0
Modeling and Control of Power Electronics specialization ,4.7 stars,129 reviews,Modeling and Control of Power Electronics specialization by University of Colorado Boulder,Intermediate," Research and Design, Strategy and Operations, Mathematics ",3-6 months,/specializations/modeling-and-control-of-power-electronics,,,,,,,,,,0
Plant Bioinformatic Methods specialization ,4.7 stars,2k reviews,Plant Bioinformatic Methods specialization by University of Toronto,Beginner," Bioinformatics, Probability & Statistics, Data Visualization ",3-6 months,/specializations/plant-bioinformatic-methods,,,,,,,,,,0
Using Databases with Python,4.8 stars,21k reviews,Using Databases with Python course by University of Michigan,Mixed," SQL, Databases, Statistical Programming ",1-3 months,/learn/python-databases,,,,,,,,,,0
Marketing Analytics Foundation,4.8 stars,1.5k reviews,Marketing Analytics Foundation course by Meta,Beginner," Digital Marketing, Marketing, Advertising ",1 month,/learn/marketing-analytics-foundation,,,,,,,,,,0
Cybersecurity specialization ,4.6 stars,5.3k reviews,Cybersecurity specialization by University of Maryland,Intermediate," Security Engineering, Computer Science, Cryptography ",3-6 months,/specializations/cyber-security,,,,,,,,,,0
Agile Meets Design Thinking,4.7 stars,3.3k reviews,Agile Meets Design Thinking course by University of Virginia,Beginner," Agile Software Development, Design and Product, Software Engineering ",1 month,/learn/uva-darden-getting-started-agile,,,,,,,,,,0
Programming in Python,4.6 stars,904 reviews,Programming in Python course by Meta,Beginner," Python Programming, Programming Principles, Big Data ",1-3 months,/learn/programming-in-python,,,,,,,,,,0
Interviewing and Resume Writing in English specialization ,4.6 stars,694 reviews,Interviewing and Resume Writing in English specialization by University of Maryland,Intermediate," Communication, Business Communication, Leadership and Management ",3-6 months,/specializations/english-interview-resume,,,,,,,,,,0
Continuous Delivery & DevOps,4.6 stars,1.6k reviews,Continuous Delivery & DevOps course by University of Virginia,Beginner," DevOps, Continuous Delivery, Continuous Integration ",1 month,/learn/uva-darden-continous-delivery-devops,,,,,,,,,,0
Analitik Data Google,4.9 stars,1.7k reviews,Analitik Data Google professional certificate by Google,Beginner," Data Analysis, Business Analysis, Data Management ",3-6 months,/professional-certificates/analitik-data-google,,,,,,,,,,0
Google SEO Fundamentals,4.8 stars,3.3k reviews,Google SEO Fundamentals course by University of California,Mixed," Digital Marketing, MarTech, Marketing ",1 month,/learn/seo-fundamentals,,,,,,,,,,0
HTML and CSS in depth,4.7 stars,963 reviews,HTML and CSS in depth course by Meta,Beginner," Front-End Web Development, HTML and CSS, Web Development ",1 month,/learn/html-and-css-in-depth,,,,,,,,,,0
Cloud Computing Law specialization ,4.9 stars,71 reviews,Cloud Computing Law specialization by Queen Mary University of London,Beginner," Cloud Computing, Computer Networking, Network Security ",1-3 months,/specializations/cloud-computing-law,,,,,,,,,,0
An Introduction to Accessibility and Inclusive Design,4.7 stars,182 reviews,An Introduction to Accessibility and Inclusive Design course by University of Illinois at Urbana-Champaign,Beginner," Research and Design, Human Computer Interaction, Visual Design ",1-3 months,/learn/accessibility,,,,,,,,,,0
Development of Secure Embedded Systems specialization ,4.3 stars,1.1k reviews,Development of Secure Embedded Systems specialization by EIT Digital,Intermediate," Computer Science, Operating Systems, Information Technology ",3-6 months,/specializations/embedded-systems-security,,,,,,,,,,0
Principes de base du support technique,4.4 stars,73 reviews,Principes de base du support technique course by Google,Beginner," Theoretical Computer Science, Computer Architecture, Computer Networking ",1-3 months,/learn/principes-de-base-du-support-technique,,,,,,,,,,0
Google Cloud Big Data and Machine Learning Fundamentals,4.7 stars,15.7k reviews,Google Cloud Big Data and Machine Learning Fundamentals course by Google Cloud,Beginner," Cloud Computing, Data Management, Cloud Platforms ",1-3 months,/learn/gcp-big-data-ml-fundamentals,,,,,,,,,,0
The Business of Product Management I,4.5 stars,681 reviews,The Business of Product Management I course by Advancing Women in Tech,Beginner," Entrepreneurship, Design and Product, Leadership and Management ",1 month,/learn/the-business-of-product-management-one,,,,,,,,,,0
Цифровий маркетинг і електронна комерція від Google,4.9 stars,1.1k reviews,Цифровий маркетинг і електронна комерція від Google professional certificate by Google,Beginner," Marketing, Digital Marketing, Sales ",3-6 months,/professional-certificates/google-digital-marketing-ecommerce-ua,,,,,,,,,,0
"Programming Foundations with JavaScript, HTML and CSS",4.6 stars,14.4k reviews,Programming Foundations with JavaScript,Beginner," Web Development, Javascript, Front-End Web Development ",1-3 months,/learn/duke-programming-web,,,,,,,,,,0
"Penetration Testing, Incident Response and Forensics",4.6 stars,2.1k reviews,Penetration Testing,Beginner," Security Engineering, Security Strategy, Computer Programming ",1 month,/learn/ibm-penetration-testing-incident-response-forensics,,,,,,,,,,0
Palo Alto Networks Cybersecurity,4.6 stars,363 reviews,Palo Alto Networks Cybersecurity professional certificate by Palo Alto Networks,Beginner," Security Engineering, Computer Networking, Network Security ",3-6 months,/professional-certificates/palo-alto-networks-cybersecurity-fundamentals,,,,,,,,,,0
Architecting Solutions on AWS,4.8 stars,98 reviews,Architecting Solutions on AWS course by Amazon Web Services,Intermediate," Amazon Web Services, Cloud Computing, Cloud Infrastructure ",1 month,/learn/architecting-solutions-on-aws,,,,,,,,,,0
Dirección y Gestión de Negocios new specialization ,4.8 stars,1.4k reviews,Dirección y Gestión de Negocios new specialization by Universidad de Palermo,Beginner," Marketing, Human Resources, Strategy and Operations ",1-3 months,/specializations/direccion-y-gestion-de-negocios,,,,,,,,,,0
